Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2021,Palm Beach,FL,Passenger,1,0,1,55,56,1.79
July 31 2021,Pinellas,FL,Passenger,0,1,1,80,81,1.23
July 31 2021,Polk,FL,Passenger,1,0,1,53,54,1.85
July 31 2021,Sarasota,FL,Passenger,2,0,2,25,27,7.41
July 31 2021,St. Johns,FL,Passenger,0,1,1,35,36,2.78
July 31 2021,Bartow,GA,Passenger,0,1,1,2,3,33.33
July 31 2021,DeKalb,GA,Passenger,1,0,1,53,54,1.85
July 31 2021,Houston,GA,Passenger,1,0,1,43,44,2.27
July 31 2021,Jones,GA,Passenger,1,0,1,1,2,50.00
July 31 2021,Richmond,GA,Passenger,0,1,1,81,82,1.22
July 31 2021,Rockdale,GA,Passenger,1,0,1,8,9,11.11
July 31 2021,Honolulu,HI,Passenger,5,1,6,362,368,1.63
July 31 2021,Champaign,IL,Passenger,1,0,1,11,12,8.33
July 31 2021,Cook,IL,Passenger,1,0,1,166,167,0.60
July 31 2021,DuPage,IL,Passenger,1,0,1,46,47,2.13
July 31 2021,Lake,IL,Passenger,3,0,3,157,160,1.88
July 31 2021,St. Clair,IL,Passenger,2,0,2,129,131,1.53
July 31 2021,Hamilton,IN,Passenger,2,0,2,30,32,6.25
July 31 2021,Howard,IN,Passenger,0,1,1,5,6,16.67
July 31 2021,Vigo,IN,Passenger,1,0,1,4,5,20.00
July 31 2021,Leavenworth,KS,Passenger,0,1,1,116,117,0.85
July 31 2021,Oldham,KY,Passenger,0,1,1,4,5,20.00
July 31 2021,Plaquemines,LA,Passenger,0,1,1,15,16,6.25
July 31 2021,Hampshire,MA,Passenger,1,0,1,4,5,20.00
July 31 2021,Middlesex,MA,Passenger,1,1,2,91,93,2.15
July 31 2021,Suffolk,MA,Passenger,0,2,2,34,36,5.56
July 31 2021,Anne Arundel,MD,Passenger,4,3,7,374,381,1.84
July 31 2021,Baltimore,MD,Passenger,1,0,1,86,87,1.15
July 31 2021,Calvert,MD,Passenger,0,2,2,85,87,2.30
July 31 2021,Carroll,MD,Passenger,0,1,1,14,15,6.67
July 31 2021,Charles,MD,Passenger,1,1,2,66,68,2.94
July 31 2021,Frederick,MD,Passenger,2,1,3,69,72,4.17
July 31 2021,Howard,MD,Passenger,0,1,1,57,58,1.72
July 31 2021,Montgomery,MD,Passenger,2,1,3,211,214,1.40
July 31 2021,Prince George's,MD,Passenger,1,1,2,127,129,1.55
July 31 2021,St. Mary's,MD,Passenger,1,0,1,185,186,0.54
July 31 2021,Washington,MD,Passenger,2,0,2,11,13,15.38
July 31 2021,Penobscot,ME,Passenger,0,1,1,9,10,10.00
July 31 2021,Saginaw,MI,Passenger,1,0,1,7,8,12.50
July 31 2021,Hennepin,MN,Passenger,2,0,2,66,68,2.94
July 31 2021,Boone,MO,Passenger,0,1,1,8,9,11.11
July 31 2021,Greene,MO,Passenger,0,1,1,22,23,4.35
July 31 2021,Platte,MO,Passenger,1,0,1,15,16,6.25
July 31 2021,Ray,MO,Passenger,0,1,1,1,2,50.00
July 31 2021,St. Louis,MO,Passenger,1,0,1,76,77,1.30
July 31 2021,Harrison,MS,Passenger,2,0,2,51,53,3.77
July 31 2021,Flathead,MT,Passenger,1,0,1,37,38,2.63
July 31 2021,Missoula,MT,Passenger,1,0,1,45,46,2.17
July 31 2021,Cumberland,NC,Passenger,0,2,2,417,419,0.48
July 31 2021,Harnett,NC,Passenger,0,1,1,164,165,0.61
July 31 2021,Moore,NC,Passenger,0,1,1,132,133,0.75
July 31 2021,Onslow,NC,Passenger,0,1,1,169,170,0.59
July 31 2021,Wayne,NC,Passenger,1,0,1,30,31,3.23
July 31 2021,Wilson,NC,Passenger,1,0,1,1,2,50.00
July 31 2021,Williams,ND,Passenger,0,1,1,7,8,12.50
July 31 2021,Douglas,NE,Passenger,1,1,2,52,54,3.70
July 31 2021,Carroll,NH,Passenger,0,1,1,3,4,25.00
July 31 2021,Burlington,NJ,Passenger,0,1,1,127,128,0.78
